,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,0.8413942911448256,0.6546644844517184,0.868365160245726,0.7813258807898473,0.7279985007496252,0.8512384019630396,0.8533500652050884,0.8845475910693301,0.855072463768116,0.3911689015305431,0.7521693315618271,0.9130800146145414,0.9565400188280887,0.793596837944664,0.6121243868755655
113,0.8385372100635721,0.8020093344647835,0.8582961829352141,0.3481860994669565,0.8584292589881783,0.5514010561759134,0.7594908298063358,0.6682366708110875,0.7513013086631702,0.6356293902889086,0.8385372100635721,0.7747656181547359,0.7745176874457644,0.7554747531055804,0.6023314580451941
157,0.7601836764923714,0.6708885705868609,0.6740986252413754,0.6816061870887317,0.5444096472851824,0.7512496559424076,0.7833867565555463,0.6583930276125397,0.653507665584668,0.6054441169946446,0.7103240946005861,0.7953249035173041,0.7641398662298853,0.7378069094461988,0.7765994609788899
202,0.4000765636093503,0.538923824814914,0.6247855204395971,0.534663220016583,0.4824078140548474,0.623017424997623,0.5417321145969454,0.40003221212532214,0.4448173789341551,0.43174629078519733,0.4280931352587671,0.3605060934609238,0.5645107794361526,0.3782432905669988,0.3835351138588565
246,0.6713346067521491,0.6648395439153462,0.6899939157533572,0.6715374075089067,0.6350758676668892,0.6132940291506022,0.6410709237304626,0.6134051833832008,0.620786070027042,0.6117323821459557,0.6775073623675374,0.6782742379419919,0.6444937176644494,0.6108360855363673,0.6107889670175732
290,0.6093918327885457,0.6767110016420361,0.5184724798914181,0.6131316958903166,0.6387000886798592,0.5531753840633468,0.6749909538040928,0.6278696672785343,0.6265216098416082,0.5879248374594305,0.642441976127321,0.6442224503789854,0.6127816091954023,0.6509486156432376,0.6231878677885937
335,0.6491383696785388,0.6919573254321252,0.6865671641791045,0.6081996646087954,0.6557240652316083,0.6000102018955122,0.6625045608883967,0.5652468344280341,0.6448204349440011,0.6569541445315794,0.6124997485963468,0.6713782705817466,0.6377030929269736,0.6439737290949045,0.6447070231796237
379,0.6389324821701742,0.6654135752269366,0.6680721038659931,0.644610498200534,0.6649076517150394,0.63365911642525,0.6724534897400131,0.6401465004476038,0.6359092542261546,0.6370056244800879,0.6381139358167957,0.6823259637586377,0.6219578045853269,0.5252504376115423,0.6019172974035181
423,0.6112262908175562,0.6292947580413032,0.6227349233035162,0.620292011922629,0.6197712687802044,0.5945525449071548,0.5883087422644271,0.5968943294795815,0.5888985518970957,0.6153547046867827,0.6210656575870294,0.5565512782136295,0.624534238441867,0.5772965214454577,0.6045476008128217
468,0.6383754373751992,0.6816603759378224,0.6704312686914178,0.6216509956655941,0.625039755351682,0.5263592530435015,0.6774167861124384,0.6184327430244633,0.6279394971940816,0.6303840743260348,0.636432350718065,0.6561765058312453,0.6219451073776119,0.6099726775956283,0.398291888318827
512,0.6454515917683451,0.6506108669330977,0.628515372495152,0.6252748091603053,0.6540528824694127,0.6151238521642228,0.6627062561169561,0.6675633394383396,0.6620848848481553,0.6225969830416197,0.6379725969796737,0.6308212486611326,0.6467878936791915,0.554453221410942,0.6024863168030439
556,0.6374510990286112,0.6517762273157957,0.6420452709403927,0.6472847953208053,0.647957432536756,0.6345690366561135,0.6562795789655094,0.6179254674063953,0.649062421222052,0.6433170905984306,0.6478970357535284,0.5916358249480344,0.6604725108167531,0.621580382403333,0.5915380047644436
601,0.525903981941608,0.6268832483449,0.3680857990306012,0.5405971240517404,0.42121519118527273,0.38108203267141627,0.45539900246867876,0.48489741520913276,0.3623767729901273,0.3908804969045289,0.5194738013805378,0.3680857990306012,0.3757410088524897,0.6188578868937941,0.36408770721916384
645,0.6228715298482741,0.6384470488055781,0.5777266025924312,0.6285363091010461,0.6086696546474013,0.609518737935166,0.6359819121447029,0.6288083321245389,0.600137500438458,0.46174533111337007,0.5465749833659859,0.6401811749154387,0.6305766116100603,0.6247143627878433,0.6070256033427276
690,0.6444962024830129,0.6406901043282961,0.6166451336079087,0.6270883265153622,0.6524897357616593,0.6335660468652794,0.6143304364310062,0.6503966804500998,0.6234734157011956,0.6370134744290296,0.6293287387121215,0.6680495773823967,0.6331112365894974,0.6318157394084527,0.653032555676063
