,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,0.9118932597193466,0.942357218603242,0.9135943008225617,0.9129704055535258,0.883863110461576,0.9421753769579857,0.9564669000374734,0.9708770614692653,0.8972323454906724,0.985525649873476,0.9419802703690173,0.9419065804935369,1.0,0.8709644319655233,0.9564284581588203
113,0.8762226362366091,0.9035264964468503,0.9108694916019505,0.876125601614656,0.9203290011928478,0.9554693207559714,0.9734554870376341,0.9822585560772981,0.9467179392453526,0.9203290011928478,0.9294044125032084,0.9557243507364184,0.9557314143693522,0.9023190101374724,0.9293039761631086
157,0.8782821958906705,0.8545906285977254,0.9299874782419917,0.885406154355199,0.8788826340099412,0.8650418670810468,0.9745202256691412,0.9359742107678255,0.8587414461465591,0.9108933582496624,0.8911207574397417,0.9745409594999035,0.9299363057324841,0.936285059239183,0.9172646811886389
202,0.6791676800115644,0.6598501880490335,0.6364939524255455,0.6080243318449492,0.6578694414291928,0.638463294899448,0.7254078891217937,0.6375792301868867,0.7167561702486427,0.6624682033420735,0.647187510309713,0.6827952810979685,0.6388769986151328,0.5728948482064226,0.6784788352738378
246,0.7999729209621433,0.8262294560323294,0.83285097656573,0.813603922298765,0.8412668524364239,0.7886178861788617,0.8372908687764563,0.8287596243282348,0.820305133652175,0.8167978744301971,0.8083420115100027,0.8496059280739605,0.823553484973052,0.8373338836508406,0.8336528470057402
290,0.8553108392040538,0.8200068607706714,0.8313668739400791,0.8039325259352257,0.7953771282517577,0.7731961750217328,0.8172522449936875,0.7862984175720359,0.8550897378483585,0.8654740615564664,0.8235159775165467,0.8718058697158783,0.83391497352472,0.8275041871100984,0.8450438968956024
335,0.841645753889978,0.8146944422273659,0.8300023822815713,0.8331846261629504,0.8159431662319945,0.8031536195120497,0.8267576324624205,0.7835403245705205,0.8534024766470197,0.8595513884824678,0.7912124709595126,0.8461300982326033,0.8049401876685509,0.7995503252112311,0.8211864217145158
379,0.8037305370502648,0.8073878627968337,0.8419672469450626,0.8365537805136944,0.8383496910314804,0.8024862118640489,0.8254203907874401,0.7936355930744048,0.8468804528287688,0.8232411508320144,0.7888388473269272,0.8231451462898792,0.8049396749584938,0.8100052241421496,0.8312973981593619
423,0.7712046674072383,0.7754764714800862,0.7734279811918537,0.7800656600639954,0.7856866537717601,0.7446266274227029,0.7871339106651903,0.7706855791962175,0.7895769042228572,0.7706650443043601,0.7938982933857915,0.7541645976066763,0.7923404255319149,0.7455321790810281,0.7890760461845125
468,0.7944367764568034,0.749736271263843,0.8014541014541015,0.7821627403377842,0.775814275814276,0.7949770659448078,0.8055706478315063,0.7733181024320264,0.8098733431792811,0.8248823375405655,0.8140236267624802,0.8226957291884351,0.8054623351520824,0.7767722473604826,0.7866765150715769
512,0.7794544869775257,0.8059113796221289,0.7889981260013733,0.7696156553286944,0.8007812499999999,0.7905249183669378,0.8260889793853174,0.78528411952325,0.8083892280494879,0.7950697774724016,0.8197689490871591,0.8182519646372449,0.8203125,0.7885984407226339,0.7694040207323806
556,0.7965822222185841,0.7765337312593119,0.8038268202367947,0.7672832137111125,0.7934609503152107,0.7819803600361221,0.8256304428547545,0.7960809763566724,0.7962498478263781,0.7987384281113702,0.7996317144481561,0.8167035033944675,0.8022606759313047,0.7769784172661871,0.7735428235305306
601,0.6854113768788572,0.6310412984374896,0.6754540965960881,0.5909698131062441,0.7208561434456372,0.6443845542673189,0.6388787671357388,0.6437059387405303,0.6914798301620164,0.6547602762883535,0.5645175105675677,0.6226977256381794,0.6624499108420366,0.6815528487974722,0.6972100037039383
645,0.7676657970462764,0.7607130971458781,0.7843211043865479,0.7715699952722057,0.7986329352608423,0.7676129478968322,0.8046323803322616,0.7749667657055073,0.7796163949625279,0.7723824505188396,0.7722300112805446,0.7676969860271758,0.7692401821809268,0.7976894002875646,0.778512303891777
690,0.77793167320211,0.7770180693815105,0.795779671564078,0.7596387339018142,0.8059439911690778,0.771053099372337,0.7941233607660759,0.7695850616381669,0.792917789599205,0.772519685449247,0.7736052327818391,0.7726267792048188,0.7639791210485201,0.7700702544064965,0.7871522172780709
