,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
0,0.16370326677958172,0.042130964420808124,0.0037401994069417317,0.00026682783503624347,0.0001,"(5,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.5}",0.671625992018209,0.728414777332917,0.7227106743531387,0.6986178507254042,0.6633261369176127,0.7202907858851564,0.6432482232524575,0.7092397240430512,0.649199922253912,0.6707184145334435,0.7393626487913214,0.7110792298433387,0.6872092233421168,0.6548356035767958,0.6721461040783113,0.6894683540631459,0.030131659046684914,58,0.7123485204461857,0.7274856653889336,0.7523285378543074,0.7105927626248988,0.733418472370422,0.7331496198350499,0.7738670347366,0.7336335876172597,0.7300615988627902,0.7445782282322018,0.7355148813822798,0.7681159420289857,0.715301938088056,0.7093794220901971,0.6886344686856195,0.7312273786829191,0.021875017525643182
1,0.21398488680521646,0.047793772369377256,0.003592856725056966,0.0002792490587698527,0.0001,"(5,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.1}",0.7224321029430171,0.7103988641688553,0.7109826589595376,0.7516945313042336,0.6900353415144302,0.7562016853541333,0.6649420648433759,0.7017321210799234,0.7097639111358729,0.7339974319870579,0.7271674348087975,0.6872307733023637,0.7170281291661038,0.6994219653179191,0.6580400741882276,0.7094046060049233,0.026796481579649888,18,0.7678626233101937,0.7580653318268203,0.7770180693815105,0.7557106979101863,0.7559690493736183,0.7580304934396448,0.7638899939343304,0.7267542438294338,0.7637884594152275,0.7652173913043478,0.7392491107543507,0.757204215375756,0.7784589295731508,0.7654345541124751,0.7638263552034267,0.7597653012496317,0.01259149732491106
2,0.7429396788279216,0.12031513215681877,0.0039211750030517575,0.001931113906409305,0.0001,"(5,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.01}",0.7283236994219653,0.7400408535790343,0.6761707867668532,0.7515945934199662,0.704946180480102,0.6976093130047735,0.6406597450956741,0.6990000309109455,0.7041964122905415,0.7243684484581359,0.7053796340562388,0.6534573892615376,0.7284871137381024,0.6881744124551165,0.6821875053895838,0.7016397412219049,0.029690269283655334,36,0.759375821902196,0.762426681396144,0.7754496117482402,0.7606389843591372,0.7740992702949225,0.7637884594152275,0.7666455926183421,0.7535776489359837,0.7827731244429974,0.7625146174895338,0.7753420301605156,0.7779892737321166,0.7708220825096531,0.7638261702434856,0.7668810755912366,0.7677433629893152,0.007778479191903275
3,2.5341671307881675,0.37800705115440597,0.0065999666849772135,0.0032091714298242515,0.0001,"(5,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.001}",0.710576952798986,0.7571280900751399,0.6464482122963033,0.7343173317671786,0.6693959902070757,0.6820809248554912,0.6620180329445639,0.6993014448549351,0.7167630057803468,0.711768926706452,0.7052023121387283,0.6419059689035886,0.7112726041251077,0.710866773898976,0.6475170514320838,0.6937709081856639,0.03302611219225768,50,0.7548362930708739,0.7638896928562549,0.7362763549731983,0.739947707900121,0.7565626515952938,0.7552664786172422,0.7622749083853018,0.7328132749388454,0.7595577535787391,0.7538261278854924,0.759023960988844,0.7737762697598568,0.7567345966142356,0.7665514887360184,0.7523850524802917,0.754914840825374,0.01076399653056679
4,0.15994868278503419,0.0440252167109629,0.003343089421590169,0.00016770414299250726,0.0001,"(10,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.5}",0.712639446264865,0.728414777332917,0.710866773898976,0.7226360606496054,0.6648519066182731,0.7445922417995683,0.6743484909282175,0.7031268984657636,0.6870262295994581,0.6872092233421168,0.6766253166201208,0.6823785123293002,0.704946180480102,0.7171946550559267,0.687965568230806,0.7003214854410678,0.021819686147280925,40,0.7300615988627902,0.7509131826946371,0.7217461051016392,0.7493684198191969,0.768307180175239,0.7725808698063317,0.7681899759742801,0.7576309143546016,0.7748887871353378,0.7637467801042842,0.7606389843591372,0.7408007274501298,0.7603654830795531,0.7391718140469254,0.7553081301042177,0.7542479302045535,0.015098886365819754
5,0.21686458587646484,0.08202214094908993,0.0033518314361572266,0.00046335191751146055,0.0001,"(10,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.1}",0.7227106743531387,0.728414777332917,0.6939490734680089,0.6787267771183328,0.7134289006454166,0.705439216358004,0.644916486400227,0.71120149533544,0.6986178507254042,0.6939283846082347,0.7574689874650905,0.6820809248554912,0.6930271196875564,0.6875885698303189,0.6751866326554492,0.6991123913892688,0.025365367709902775,42,0.7610592558364285,0.7448801973853846,0.7780459203026646,0.7537800612633676,0.7923167520022795,0.7914764621577152,0.782042025024906,0.7505573538053973,0.7796694272839384,0.7573771870910213,0.780948403868059,0.7969309591857685,0.7793472413873751,0.7842509892853142,0.7559652173913043,0.7725764968847283,0.016344023121546772
6,0.8200379689534505,0.21773892327365763,0.003958717981974284,0.0018595526499701211,0.0001,"(10,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.01}",0.745919891630095,0.7573065530684046,0.6993014448549351,0.7401454397369888,0.7046110019634976,0.6997036314816104,0.687423109022905,0.745919891630095,0.7053796340562388,0.6774524396850526,0.7285420229181605,0.6766253166201208,0.7054782568871693,0.7227659114092301,0.6881744124551165,0.712316597161308,0.025303498416143776,14,0.7769616368286444,0.7768828518752445,0.78822800029373,0.7913043478260869,0.7755705882465855,0.7842509892853142,0.8001344537815126,0.7668829981141954,0.7856949293408758,0.7986290066645508,0.8145519807794239,0.7681899759742801,0.7871522172780709,0.7927714705299236,0.7900427763928553,0.786483214880753,0.012184712147681909
7,2.5360833009084067,0.3831535791515358,0.005554040273030599,0.003096838470169725,0.0001,"(10,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.001}",0.7515284133045838,0.7573065530684046,0.7112144910512812,0.7631962327583954,0.6981544675813078,0.7092397240430512,0.6705202312138728,0.7627998705820427,0.6877361158108941,0.678338561948937,0.7111569524511862,0.7053796340562388,0.7110792298433387,0.7170472566024988,0.6939283846082347,0.7152417412616179,0.029096400131236475,10,0.7624786262331018,0.7726574159728646,0.7739130434782607,0.7692190309282136,0.7668122490908977,0.7465073389561021,0.7725808698063317,0.7692190309282136,0.7654306846122703,0.7770067135630494,0.7855757277762091,0.7754496117482402,0.7653515426491311,0.7665514887360184,0.7841927025748059,0.7701964051369141,0.009038883540206002
8,0.1632034460703532,0.02867492860125463,0.003389263153076172,0.00021953089073544946,0.0001,"(15,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.5}",0.6691179528532225,0.7456647398843931,0.6590738694179172,0.7054782568871693,0.678338561948937,0.6979337394986439,0.6306116941955093,0.7401278737239729,0.6754346084735121,0.6860880037927085,0.7264110632919781,0.6914848160526562,0.7224321029430171,0.6582768748592449,0.6908027763519093,0.6918184622783194,0.03112769184736212,54,0.7697769628509729,0.7581954079818051,0.7464756471239137,0.7441724270072458,0.7499866900298084,0.7186725613876999,0.7578544975606328,0.7623188405797101,0.7550935560808187,0.7771055187463394,0.754112581907422,0.7774797285094767,0.771214856999043,0.7211557260725442,0.7416237405106971,0.7536825828898752,0.01709002678146437
9,0.24381291071573893,0.07898532014197514,0.0033971150716145832,0.00022304848103022238,0.0001,"(15,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.1}",0.6997235082901122,0.7573065530684046,0.6958319328261523,0.7396583945412665,0.7374740553931306,0.7621971157629843,0.609990239160905,0.7631962327583954,0.6586632283985493,0.7147689808788708,0.6703874879798479,0.7258062356328252,0.7111569524511862,0.7285963481697437,0.6650540504987192,0.7093207543874062,0.0420892708007281,19,0.8144927536231884,0.7899861870694419,0.7890244601019648,0.762645214215777,0.7735405898449378,0.785272926561929,0.7954018797139115,0.7722431992648254,0.7972891539831914,0.7985681341855488,0.7842126758058472,0.7799415208120571,0.8059439911690778,0.7666867605266972,0.7738256639401961,0.7859383407212396,0.014282751008935418
