,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
50,1.093586604,0.465878349,0.0033264,0.000112825,0.0001,"(5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.01}",0.710866774,0.7228217,0.653040129,0.68811165,0.693825894,0.66505405,0.693641618,0.721373355,0.705379634,0.624654524,0.739971595,0.680996131,0.681952839,0.65350419,0.641305395,0.685099965,0.031632552,11,0.772185072,0.769761332,0.787008877,0.781139655,0.775568664,0.761089301,0.783902382,0.761927287,0.774042226,0.806897843,0.785651443,0.772244367,0.782809808,0.786573749,0.77845907,0.778617405,0.010988835,,0.09351744
10,1.301303577,0.291676827,0.004605611,0.00183205,0.0001,"(15,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.01}",0.653388343,0.699301445,0.693928385,0.715557538,0.688153771,0.682187505,0.69302712,0.780258748,0.688174412,0.612949715,0.626584877,0.68233641,0.703947642,0.676017776,0.665076221,0.684059327,0.037254035,12,0.811768469,0.820453117,0.846503507,0.7958347,0.847965869,0.824798764,0.808695652,0.788526699,0.816106432,0.810319323,0.826142649,0.816098674,0.846122161,0.830556262,0.845070032,0.822330821,0.017852136,,0.138271493
14,1.596695566,0.379059873,0.003701464,0.001027035,0.0001,"(20,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.01}",0.65350419,0.722803352,0.71699062,0.722765911,0.681804704,0.666127618,0.757468987,0.705202312,0.670054817,0.664851907,0.595619733,0.676300578,0.687230773,0.669117953,0.670233966,0.684005162,0.036561573,13,0.863871158,0.866756477,0.872579631,0.868104031,0.865341199,0.84057971,0.850817972,0.833486428,0.815663846,0.843549466,0.855199277,0.826218709,0.850650613,0.881197477,0.847812343,0.852121889,0.017573397,,0.168116728
23,7.616095988,1.680294722,0.003359365,0.000263714,0.0001,"(30,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.001}",0.705478257,0.711272604,0.710982659,0.697876786,0.647517051,0.681952839,0.682187505,0.69302712,0.70494618,0.674348491,0.617726501,0.682399982,0.688174412,0.669117953,0.653388343,0.681359779,0.025224002,14,0.859550626,0.882682094,0.849412291,0.821904402,0.86388732,0.840711186,0.871132975,0.869587209,0.845066147,0.869606987,0.840711024,0.823348949,0.84358369,0.879805565,0.849412219,0.854026846,0.018166704,,0.172667067
4,0.18393445,0.047484613,0.00457503,0.00231834,0.0001,"(10,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.5}",0.691484816,0.710576953,0.716194884,0.757306553,0.625200631,0.672906955,0.685327134,0.651798947,0.646493319,0.658175338,0.616473898,0.652692343,0.664269265,0.74014544,0.709239724,0.679885747,0.039437855,15,0.77958968,0.772054956,0.769594886,0.762313596,0.766815211,0.746082925,0.736066017,0.748877638,0.769660268,0.770043175,0.695630562,0.790897346,0.771203107,0.71670281,0.756818275,0.756823363,0.024103026,,0.076937617
55,6.693867588,0.813471754,0.003506056,0.000757991,0.0001,"(10, 10)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.001}",0.686545024,0.64195433,0.664739884,0.728214244,0.663326137,0.693744323,0.68811165,0.739362649,0.7228217,0.616888363,0.670630687,0.644500916,0.659233603,0.698387587,0.675646728,0.679607188,0.032716123,16,0.849412219,0.83782319,0.834935454,0.856653581,0.839279583,0.820438065,0.826142482,0.821830873,0.819007046,0.824798764,0.837831297,0.836361793,0.830591992,0.837831297,0.845070032,0.834533844,0.010526518,,0.154926656
27,7.817119614,1.801709695,0.003241555,0.000186363,0.0001,"(35,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35,), 'NN__learning_rate_init': 0.001}",0.711253492,0.711253492,0.699703631,0.73318902,0.658959538,0.663586155,0.682187505,0.670718415,0.711214491,0.647256785,0.605583768,0.6476822,0.676603911,0.669117953,0.705379634,0.679579333,0.032014598,17,0.847946629,0.863859879,0.859521182,0.856654763,0.847967173,0.831937894,0.821902934,0.843623062,0.868237087,0.8768596,0.882713625,0.820425999,0.826244868,0.855206515,0.892852821,0.853063602,0.021256465,,0.173484269
30,1.521116972,0.496777343,0.003360764,9.74E-05,0.0001,"(40,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.01}",0.722803352,0.682399982,0.693744323,0.681631841,0.647752707,0.633618328,0.618344142,0.682272154,0.693887813,0.693825894,0.64589816,0.640894592,0.716362913,0.702068838,0.734353212,0.679323883,0.033526225,18,0.891401505,0.917467186,0.897193424,0.887032517,0.928991644,0.868233826,0.885496906,0.934834269,0.869587209,0.863859879,0.88978812,0.894244127,0.859380258,0.928834799,0.897175298,0.894234731,0.02336338,,0.214910848
173,0.613607057,0.14894553,0.003766346,0.000104322,0.0001,"(40, 40, 40, 40)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40, 40, 40), 'NN__learning_rate_init': 0.1}",0.632086037,0.71699062,0.699723508,0.723886646,0.64195433,0.664269265,0.692082386,0.715796553,0.679134957,0.630181414,0.676625317,0.68702623,0.66939599,0.678338562,0.674348491,0.678789354,0.028011867,19,0.743430731,0.765019095,0.783211685,0.797835246,0.793258947,0.733580031,0.800503615,0.810966611,0.806411296,0.805679054,0.782524677,0.803328399,0.788662463,0.742450059,0.791042144,0.783193603,0.024442626,,0.10440425
146,1.394125334,0.369134329,0.003456354,0.000106858,0.0001,"(5, 5, 5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5, 5), 'NN__learning_rate_init': 0.01}",0.687736116,0.699603231,0.693641618,0.711214491,0.664062682,0.63485635,0.657223788,0.751445087,0.676170787,0.612949715,0.670520231,0.66500881,0.646493319,0.727939937,0.679468039,0.678555613,0.034384692,20,0.786896111,0.77837527,0.778436765,0.756922454,0.788055052,0.79291779,0.812384869,0.757022492,0.826165864,0.800064046,0.800226765,0.808261396,0.767789282,0.79293019,0.766371784,0.787521342,0.019644938,,0.108965729
