,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
15,3.329284716,0.508162789,0.00367465,0.000322183,0.0001,"(20,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.001}",0.692082386,0.751677746,0.711253492,0.740093426,0.691484816,0.716933374,0.680996131,0.720870135,0.652692343,0.687209223,0.703126898,0.693928385,0.717028129,0.733997432,0.705379634,0.70658357,0.024353222,11,0.750313984,0.75663221,0.778419728,0.745758932,0.75779663,0.744773227,0.772626779,0.74181222,0.785543288,0.758095575,0.751934947,0.765430572,0.769708991,0.759023961,0.772605734,0.760698452,0.012574107,,0.054114882
43,2.778957605,0.362194294,0.003996817,0.001288397,0.0001,"(55,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.001}",0.693375442,0.762799871,0.711272604,0.728414777,0.650363482,0.722803352,0.653040129,0.715321451,0.658275473,0.734422925,0.722765911,0.664605458,0.716933374,0.722636061,0.722765911,0.705319748,0.032594262,12,0.753527967,0.769544405,0.773723069,0.77354059,0.798451285,0.753577649,0.789873169,0.754632405,0.800063854,0.775417524,0.769621847,0.789963224,0.777793448,0.776624055,0.776912859,0.775551157,0.014213231,,0.070231409
91,3.030440251,0.676958261,0.003941075,0.000454479,0.0001,"(55, 55)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55), 'NN__learning_rate_init': 0.001}",0.676408737,0.740040854,0.716763006,0.722710674,0.675434608,0.716763006,0.699301445,0.693744323,0.646691591,0.694594869,0.757468987,0.676408737,0.70494618,0.717047257,0.74014544,0.705231314,0.028433705,13,0.817449606,0.814598993,0.818271089,0.803415971,0.827551084,0.77606814,0.807228968,0.811721109,0.83636161,0.810091092,0.820425783,0.834877011,0.804108183,0.795757602,0.826186328,0.813607505,0.015022896,,0.10837619
22,0.565160545,0.135236204,0.003547605,0.00040825,0.0001,"(30,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.01}",0.648625591,0.739884393,0.739971595,0.734353212,0.663842987,0.693949073,0.687736116,0.716857959,0.669859355,0.696766034,0.739884393,0.693375442,0.710576953,0.710576953,0.722543353,0.704586894,0.027995741,14,0.762793168,0.774110697,0.785683923,0.775381664,0.791339416,0.757674567,0.775251433,0.751868641,0.782754841,0.774015624,0.763859914,0.766757339,0.785153893,0.76468444,0.777014355,0.772556261,0.01078116,,0.067969367
27,2.654070695,0.299347825,0.003918664,0.001221566,0.0001,"(35,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35,), 'NN__learning_rate_init': 0.001}",0.681443237,0.745562761,0.722710674,0.739779596,0.679842734,0.705202312,0.663842987,0.716194884,0.651716693,0.678274701,0.740040854,0.687965568,0.733392714,0.705301141,0.717028129,0.704553266,0.028513162,15,0.753623188,0.756685422,0.766645593,0.766812249,0.789795484,0.747168749,0.778240843,0.763889693,0.773723069,0.756521739,0.763915507,0.776939121,0.764960906,0.762514617,0.772351452,0.766252509,0.010463463,,0.061699243
14,0.647315264,0.100593034,0.003624201,8.61E-05,0.0001,"(20,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.01}",0.663326137,0.745749722,0.687423109,0.722300951,0.68702623,0.734104046,0.65779585,0.705411099,0.659164675,0.731316427,0.745562761,0.687965568,0.71107923,0.679842734,0.739971595,0.703869342,0.030557755,16,0.737128197,0.762175053,0.764830613,0.762358779,0.782806085,0.759274749,0.766600503,0.744688588,0.789963492,0.750929965,0.756317151,0.776980408,0.800164739,0.776770341,0.78124446,0.767482208,0.016620065,,0.063612866
10,0.539897982,0.123866096,0.003636138,0.000204129,0.0001,"(15,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.01}",0.7228217,0.757306553,0.715557538,0.684133161,0.682399982,0.716763006,0.664605458,0.719634533,0.693928385,0.66635895,0.704785889,0.682378512,0.699301445,0.751644829,0.675646728,0.702484445,0.027322628,17,0.763969164,0.761059256,0.761019081,0.768155037,0.781362315,0.753217309,0.779836015,0.762537252,0.76974801,0.760801758,0.753214786,0.765422828,0.751100238,0.756427638,0.769709296,0.763838666,0.008652546,,0.061354221
34,0.509192912,0.13606619,0.003595956,5.52E-05,0.0001,"(45,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.01}",0.67493558,0.768693419,0.70949691,0.710982659,0.667467137,0.693949073,0.693825894,0.72512568,0.658822137,0.702106205,0.707952638,0.693949073,0.711214491,0.697609313,0.715321451,0.702096777,0.025063163,18,0.765450905,0.760510315,0.801431273,0.757536163,0.779058005,0.779810095,0.782809772,0.764249248,0.778100311,0.773871254,0.767789282,0.79000589,0.782809772,0.764739756,0.758708085,0.773792009,0.012162154,,0.071695231
31,2.98121508,0.286898648,0.004263481,0.001726968,0.0001,"(40,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.001}",0.687423109,0.763148333,0.722710674,0.733871745,0.668200651,0.693825894,0.676170787,0.698154468,0.663842987,0.692572113,0.727396694,0.680996131,0.699663071,0.71107923,0.711253492,0.702020625,0.025938394,19,0.753287754,0.765323917,0.781213201,0.759375822,0.775477929,0.764605387,0.782678102,0.765217391,0.779858239,0.759529446,0.760928332,0.766686761,0.772399248,0.759157472,0.776811594,0.76817004,0.008951963,,0.066149414
47,2.521718311,0.550822506,0.004034694,0.001263725,0.0001,"(60,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60,), 'NN__learning_rate_init': 0.001}",0.693825894,0.739884393,0.705478257,0.727939937,0.676408737,0.705379634,0.668843321,0.709239724,0.675846187,0.709779475,0.733997432,0.681804704,0.682080925,0.705202312,0.711156952,0.701791192,0.021089624,20,0.756427638,0.768221153,0.775087173,0.76945147,0.789936734,0.7531427,0.782645225,0.763597908,0.79853253,0.765126651,0.760751526,0.774042226,0.778101104,0.776567775,0.768221153,0.771990198,0.011799229,,0.070199005
