,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
71,3.378336143,0.628742107,0.003325081,4.88E-05,0.0001,"(30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30), 'NN__learning_rate_init': 0.001}",0.739971595,0.780038484,0.711214491,0.744789497,0.682187505,0.722543353,0.698154468,0.720870135,0.705478257,0.648625591,0.693518191,0.698154468,0.722432103,0.715999384,0.728578001,0.714170368,0.02907331,11,0.788117718,0.776811594,0.78129596,0.776961637,0.808853229,0.791265773,0.788548322,0.760286993,0.759557754,0.788601546,0.77845893,0.772185072,0.751484608,0.792834158,0.794123361,0.780625777,0.014685221,,0.066455409
22,1.388901567,0.429468189,0.003372955,0.000394558,0.0001,"(30,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.01}",0.75712809,0.761799582,0.728542023,0.739779596,0.716933374,0.691774149,0.692596272,0.751229133,0.722765911,0.669859355,0.699663071,0.682272154,0.717028129,0.68493099,0.688153771,0.713630373,0.028431447,12,0.786206014,0.782371209,0.776939414,0.772299826,0.78693728,0.776675928,0.795839882,0.774888787,0.77650773,0.782809808,0.784872268,0.773723069,0.784169106,0.778100311,0.77845907,0.78071998,0.006043276,,0.067089607
14,1.270953846,0.306537238,0.003734016,0.001792324,0.0001,"(20,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.01}",0.722543353,0.757420172,0.722636061,0.713752413,0.693744323,0.71699062,0.687736116,0.745749722,0.693928385,0.676170787,0.699603231,0.664062682,0.728487114,0.745919892,0.734317332,0.71353748,0.02623392,13,0.769684105,0.77644163,0.773472124,0.743455002,0.762526814,0.782787981,0.776724953,0.749591568,0.749094712,0.792943994,0.788441352,0.753702086,0.772519685,0.770972168,0.762498902,0.768323805,0.014212615,,0.054786325
174,1.037415854,0.415998853,0.00363671,4.85E-05,0.0001,"(40, 40, 40, 40)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40, 40, 40), 'NN__learning_rate_init': 0.01}",0.716763006,0.757306553,0.740127874,0.705796085,0.657099665,0.714768981,0.670060431,0.751229133,0.711253492,0.670630687,0.722765911,0.709239724,0.711768927,0.710866774,0.744592242,0.712951299,0.028413753,14,0.802165573,0.826230208,0.805908066,0.789409099,0.828411193,0.795130729,0.78176072,0.808853229,0.773951161,0.783291019,0.857694027,0.790924275,0.733892608,0.802315057,0.780364045,0.797353401,0.027210898,,0.084402102
87,3.629965401,0.532787988,0.003464746,3.29E-05,0.0001,"(50, 50)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'NN__learning_rate_init': 0.001}",0.745903073,0.763148333,0.670387488,0.721588542,0.705498165,0.728214244,0.646195709,0.751694531,0.71699062,0.659301799,0.722710674,0.734192891,0.699159364,0.68758857,0.739362649,0.712795777,0.033376052,15,0.808804961,0.798735835,0.826239132,0.788565841,0.808660292,0.798695047,0.801591521,0.787089727,0.775449612,0.800064046,0.797254916,0.818984285,0.805957263,0.811679686,0.802573848,0.802023067,0.012198552,,0.089227291
178,1.370107746,0.41062188,0.003746462,7.16E-05,0.0001,"(45, 45, 45, 45)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45, 45), 'NN__learning_rate_init': 0.01}",0.716516919,0.750946531,0.751344947,0.719389484,0.693887813,0.715999384,0.694594869,0.699012649,0.728596348,0.630428933,0.711253492,0.659073869,0.734353212,0.745749722,0.738560517,0.712647246,0.032684775,16,0.841644135,0.826860339,0.876722836,0.726427814,0.814654931,0.858066682,0.774905482,0.77374972,0.821902934,0.840361393,0.797166229,0.852295827,0.800033607,0.809548101,0.812690952,0.815135399,0.036813021,,0.102488153
187,3.074404955,0.778993561,0.003617271,0.000673762,0.0001,"(55, 55, 55, 55)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55, 55, 55), 'NN__learning_rate_init': 0.001}",0.711253492,0.728414777,0.710982659,0.733566955,0.65779585,0.734192891,0.705202312,0.756201685,0.669859355,0.674348491,0.710398864,0.653179191,0.717028129,0.762799871,0.756201685,0.712095081,0.034041412,17,0.803077517,0.804330086,0.813059635,0.760847968,0.793801549,0.806956799,0.823342981,0.778708827,0.831556195,0.79515434,0.769776963,0.805885449,0.811036452,0.806776789,0.795277285,0.799972589,0.018209976,,0.087877508
179,2.821202596,0.875539433,0.0037913,2.91E-05,0.0001,"(45, 45, 45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45, 45), 'NN__learning_rate_init': 0.001}",0.717028129,0.786341806,0.698154468,0.699723508,0.699000031,0.726940984,0.659355815,0.720870135,0.751445087,0.675434608,0.711272604,0.664446982,0.734192891,0.701272079,0.728414777,0.711592927,0.031797329,18,0.782773124,0.803077517,0.78099179,0.757210175,0.78710915,0.768566888,0.791477572,0.799781513,0.760890158,0.794372622,0.771909442,0.801526649,0.767800239,0.78554341,0.800114277,0.783542968,0.014745375,,0.071950041
155,2.546710555,0.588323008,0.00339419,5.37E-05,0.0001,"(15, 15, 15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15, 15), 'NN__learning_rate_init': 0.001}",0.734192891,0.774566474,0.692596272,0.715999384,0.697609313,0.71107923,0.66271808,0.71107923,0.705301141,0.697609313,0.734370796,0.658663228,0.717047257,0.710398864,0.745868752,0.711273348,0.02852078,19,0.776676574,0.740643463,0.753063919,0.724683951,0.776725335,0.746609865,0.758195408,0.772627067,0.768155037,0.774042226,0.77534203,0.733042017,0.766600503,0.778466452,0.797285679,0.762810635,0.019064716,,0.051537287
38,1.424258884,0.359187864,0.003269625,8.48E-05,0.0001,"(50,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'NN__learning_rate_init': 0.01}",0.745919892,0.750596975,0.705478257,0.703947642,0.699703631,0.739183107,0.681443237,0.745818118,0.70494618,0.701732121,0.711272604,0.71699062,0.693744323,0.667812332,0.698814819,0.711160257,0.023586542,20,0.811594203,0.8,0.783457349,0.774122163,0.801591521,0.791462451,0.821830873,0.781213201,0.786896111,0.798600231,0.795731582,0.814379992,0.820347404,0.776301449,0.789873234,0.796493451,0.014776393,,
