,0
1,0.5764476486473824
2,31.02973212698625
3,36.64445956177497
4,27.779559829414566
5,49.297364736606355
6,48.46471863821504
7,44.85340946881988
8,42.090026167618475
9,61.62581168099078
10,58.87137037055919
11,55.21094997221158
12,57.59431728948326
13,66.20503382105194
14,68.97569263779668
15,82.34200672634019
16,78.66455438234503
17,75.78582193169268
18,76.38346462842337
19,73.13769977119662
20,73.13769977119662
