,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
19,0.793627071,0.117001217,0.005040312,7.00E-05,0.0001,"(25,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001}",0.624277457,0.611921627,0.570782336,0.595375723,0.536923124,0.623523826,0.572680451,0.543939175,0.61849711,0.627326605,0.650709292,0.545568117,0.641115421,0.657508056,0.64709249,0.604482721,0.039635755,11,0.624841429,0.570084793,0.609080357,0.604331145,0.624367228,0.616827716,0.572092856,0.623099336,0.597284253,0.643162281,0.626450924,0.571959323,0.606189489,0.636115043,0.601169219,0.608470359,0.022251003,,0.003987639
71,1.033272219,0.208665274,0.005119499,9.96E-05,0.0001,"(30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30), 'NN__learning_rate_init': 0.001}",0.624277457,0.611921627,0.604298466,0.582169415,0.536923124,0.627826847,0.572680451,0.537140498,0.607173455,0.627326605,0.642724572,0.545568117,0.640659745,0.652478637,0.653447159,0.604441078,0.039219911,12,0.623457696,0.570084793,0.580480767,0.574409497,0.624367228,0.618178504,0.572092856,0.624429551,0.60154722,0.64103823,0.611337302,0.571959323,0.61182792,0.640796618,0.599455044,0.60436417,0.024359945,,-7.69086E-05
155,1.683102719,0.382696843,0.005162191,8.06E-05,0.0001,"(15, 15, 15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15, 15), 'NN__learning_rate_init': 0.001}",0.601395975,0.603283161,0.604298466,0.584066012,0.536923124,0.622365191,0.612169698,0.525346203,0.600809538,0.627326605,0.663586155,0.545568117,0.644994804,0.641305395,0.652692343,0.604408719,0.040376816,13,0.629406872,0.573856873,0.580480767,0.605707158,0.624367228,0.616827716,0.589350712,0.630727527,0.604062754,0.643162281,0.632764641,0.573201394,0.586988739,0.639432765,0.601169219,0.60876711,0.023295445,,0.004358391
30,0.539555963,0.163858268,0.00496645,0.000476424,0.0001,"(40,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.01}",0.618879837,0.616888363,0.604298466,0.584205028,0.536923124,0.623523826,0.611672627,0.537140498,0.612949715,0.627326605,0.663586155,0.498095886,0.640659745,0.646900769,0.640659745,0.604247359,0.04480093,14,0.629655747,0.581496945,0.580480767,0.605707158,0.624367228,0.616827716,0.587771992,0.624429551,0.607135008,0.643162281,0.634549638,0.578160826,0.604219468,0.639432765,0.601169219,0.610571087,0.021199171,,0.006323728
151,1.360957686,0.289856731,0.005117003,0.000120868,0.0001,"(10, 10, 10, 10)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10, 10, 10), 'NN__learning_rate_init': 0.001}",0.624277457,0.603283161,0.604298466,0.584066012,0.547926776,0.617476503,0.572680451,0.537140498,0.618854609,0.627326605,0.635717893,0.545568117,0.644994804,0.652478637,0.646691591,0.604185439,0.037080075,15,0.626365359,0.56628039,0.58250772,0.605707158,0.624367228,0.616827716,0.572092856,0.624429551,0.597230083,0.643162281,0.608276966,0.571959323,0.58625643,0.639432765,0.601169219,0.604404336,0.023948426,,0.000218898
10,0.491957617,0.074874109,0.005151383,0.000452905,0.0001,"(15,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.01}",0.607330742,0.607553516,0.604298466,0.589732962,0.536923124,0.617476503,0.572680451,0.537140498,0.61302799,0.627326605,0.658040074,0.545568117,0.635107708,0.652478637,0.652692343,0.603825182,0.039164604,16,0.631166151,0.57321124,0.584388165,0.604331145,0.624367228,0.616827716,0.572092856,0.623099336,0.601483597,0.64103823,0.642352337,0.573201394,0.600855434,0.640796618,0.601169219,0.608692044,0.024320346,,0.004866862
75,0.976504644,0.235059267,0.005065934,0.000554198,0.0001,"(35, 35)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35, 35), 'NN__learning_rate_init': 0.001}",0.624277457,0.610199947,0.604298466,0.584066012,0.536923124,0.621632322,0.565343477,0.537140498,0.61849711,0.627326605,0.635717893,0.545568117,0.640659745,0.652478637,0.652692343,0.603788117,0.039039114,17,0.624841429,0.570084793,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.60154722,0.64103823,0.609532779,0.573201394,0.602865113,0.63923851,0.601169219,0.60587166,0.02253436,,0.002083543
83,1.021569443,0.22977273,0.005078157,0.000543163,0.0001,"(45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45), 'NN__learning_rate_init': 0.001}",0.618624583,0.607553516,0.604298466,0.584066012,0.536923124,0.627826847,0.565343477,0.537140498,0.612846597,0.627326605,0.640824762,0.545568117,0.646195709,0.646448212,0.652692343,0.603578591,0.039156825,18,0.629273021,0.57321124,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.60154722,0.643162281,0.612044745,0.571959323,0.604894976,0.63923851,0.601169219,0.606737117,0.022851289,,0.003158525
127,1.117431959,0.221303427,0.005160062,0.000578241,0.0001,"(40, 40, 40)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40, 40), 'NN__learning_rate_init': 0.001}",0.624277457,0.582718477,0.604298466,0.57837378,0.536923124,0.609803067,0.572680451,0.537140498,0.61849711,0.627326605,0.663586155,0.545568117,0.646691591,0.652478637,0.652692343,0.603537059,0.041444366,19,0.624841429,0.55674217,0.580480767,0.604331145,0.624367228,0.600297301,0.572092856,0.624429551,0.60154722,0.643162281,0.632981755,0.571959323,0.606189489,0.639432765,0.601169219,0.605601633,0.025457095,,0.002064575
182,0.99858017,0.373020799,0.005804888,0.000565187,0.0001,"(50, 50, 50, 50)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50, 50, 50), 'NN__learning_rate_init': 0.01}",0.607251708,0.603283161,0.604298466,0.584066012,0.536923124,0.622365191,0.565343477,0.537140498,0.612949715,0.627326605,0.663586155,0.545568117,0.635107708,0.652478637,0.653447159,0.603409049,0.040460945,20,0.632313485,0.570084793,0.58250772,0.604331145,0.624367228,0.619528496,0.572092856,0.624429551,0.595270092,0.64103823,0.634117134,0.573201394,0.601509819,0.63923851,0.599920758,0.607596747,0.024330359,,0.004187699
7,0.916438262,0.151321343,0.005575641,0.001330785,0.0001,"(10,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.001}",0.630181414,0.610199947,0.604298466,0.535380804,0.536923124,0.623523826,0.572680451,0.53885817,0.61849711,0.627326605,0.642724572,0.545568117,0.64709249,0.663586155,0.64709249,0.602928916,0.043552918,21,0.628018389,0.570084793,0.58250772,0.583687747,0.624367228,0.616827716,0.573961801,0.623099336,0.597284253,0.643162281,0.610079444,0.575538263,0.604632041,0.636115043,0.601169219,0.604702352,0.02295835,,0.001773435
95,1.137531344,0.227906652,0.005289952,0.000126889,0.0001,"(60, 60)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60), 'NN__learning_rate_init': 0.001}",0.613105432,0.598206099,0.570782336,0.60099538,0.536923124,0.617476503,0.572680451,0.543939175,0.618803128,0.627326605,0.663016415,0.545568117,0.635107708,0.652478637,0.646195709,0.602840321,0.039358792,22,0.629982123,0.570084793,0.611798829,0.606011721,0.624367228,0.616827716,0.572092856,0.624429551,0.602825152,0.64103823,0.634549638,0.57375084,0.606189489,0.639432765,0.601169219,0.610303343,0.022801749,,0.007463022
18,0.530179596,0.152212992,0.00504268,7.12E-05,0.0001,"(25,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.01}",0.607251708,0.605092248,0.604298466,0.575004209,0.536923124,0.629068124,0.572680451,0.537140498,0.61849711,0.627326605,0.663016415,0.545568117,0.640659745,0.651985678,0.627826847,0.602822623,0.039392422,23,0.632313485,0.570084793,0.580480767,0.573726085,0.624367228,0.616827716,0.573961801,0.624429551,0.600127709,0.64103823,0.635690819,0.571959323,0.608052778,0.636115043,0.605076406,0.606283449,0.025441539,,0.003460826
6,0.512155342,0.060844041,0.005466318,0.001312081,0.0001,"(10,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.01}",0.607251708,0.616888363,0.604298466,0.570058383,0.536923124,0.617476503,0.572680451,0.537140498,0.61849711,0.627326605,0.644500916,0.545568117,0.638077605,0.651985678,0.64709249,0.602384401,0.038774099,24,0.627887167,0.580140235,0.580480767,0.573726085,0.624367228,0.616827716,0.572092856,0.623099336,0.597284253,0.64103823,0.627553431,0.57375084,0.584675286,0.637677993,0.599865851,0.604031152,0.024472039,,0.00164675
15,0.82650671,0.069793542,0.005655972,0.001617955,0.0001,"(20,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.001}",0.624503455,0.610199947,0.604298466,0.52688443,0.536923124,0.623523826,0.572680451,0.537140498,0.61849711,0.627326605,0.650709292,0.545568117,0.651852527,0.652478637,0.652692343,0.602351922,0.044764502,25,0.623593647,0.570084793,0.584388165,0.577402023,0.624367228,0.616827716,0.572092856,0.624429551,0.600127709,0.643162281,0.628033235,0.571959323,0.587509413,0.640796618,0.601169219,0.604396252,0.025067249,,0.00204433
22,0.516590039,0.180045497,0.005186494,0.000469513,0.0001,"(30,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.01}",0.617961578,0.605092248,0.604298466,0.601289779,0.536923124,0.600624059,0.572680451,0.537140498,0.61849711,0.627326605,0.638806551,0.545568117,0.646675616,0.646900769,0.633984723,0.602251313,0.03656988,26,0.62607653,0.570084793,0.58250772,0.605707158,0.624367228,0.600297301,0.572092856,0.624429551,0.60154722,0.64103823,0.613300931,0.57375084,0.58726638,0.639432765,0.605076406,0.604465061,0.022918971,,0.002213748
55,1.19022754,0.203627272,0.004907338,0.000529211,0.0001,"(10, 10)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.001}",0.612949715,0.603283161,0.604298466,0.584066012,0.536923124,0.617476503,0.572680451,0.53885817,0.61849711,0.627326605,0.635717893,0.545568117,0.635107708,0.646448212,0.652692343,0.602126239,0.037099673,27,0.627887167,0.570084793,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.623099336,0.597284253,0.643162281,0.608276966,0.571959323,0.600855434,0.637261984,0.601169219,0.605411161,0.022895653,,0.003284922
14,0.549587027,0.175816173,0.006978242,0.004987056,0.0001,"(20,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.01}",0.601529406,0.610199947,0.604298466,0.584066012,0.536923124,0.629068124,0.572680451,0.537140498,0.624654524,0.627326605,0.670387488,0.493226923,0.633984723,0.652478637,0.653447159,0.602094139,0.047825609,28,0.630924496,0.570084793,0.584388165,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.604381898,0.643162281,0.639977111,0.579804296,0.605572902,0.639432765,0.601621467,0.609426578,0.023819069,,0.007332439
174,0.762135983,0.127472173,0.00554409,0.000384637,0.0001,"(40, 40, 40, 40)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40, 40, 40), 'NN__learning_rate_init': 0.01}",0.623951014,0.612033714,0.604298466,0.553099631,0.547926776,0.622365191,0.565343477,0.537140498,0.618879837,0.627326605,0.663586155,0.545568117,0.635107708,0.646448212,0.627826847,0.60206015,0.039590129,29,0.627605784,0.547003772,0.580480767,0.571823794,0.622776763,0.619528496,0.572092856,0.624429551,0.601483597,0.64103823,0.635690819,0.573201394,0.604429161,0.63923851,0.60247209,0.604219706,0.02828188,,0.002159556
91,1.138303455,0.315752719,0.005329593,0.000156807,0.0001,"(55, 55)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55), 'NN__learning_rate_init': 0.001}",0.607251708,0.619332589,0.570782336,0.595375723,0.536923124,0.628497806,0.572680451,0.537140498,0.61849711,0.627326605,0.64593523,0.545568117,0.638077605,0.652478637,0.633984723,0.601990151,0.038515026,30,0.629406872,0.547003772,0.604184762,0.604331145,0.624367228,0.618178504,0.572092856,0.624429551,0.60154722,0.64103823,0.613300931,0.574995073,0.58550993,0.639432765,0.60247209,0.605486062,0.025583486,,0.003495911
34,0.494135284,0.134656098,0.00507404,0.000138469,0.0001,"(45,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.01}",0.629909471,0.609614486,0.604298466,0.584066012,0.54243665,0.609803067,0.565343477,0.518594161,0.61849711,0.627326605,0.638806551,0.545568117,0.640659745,0.646448212,0.648239864,0.601974133,0.04011147,31,0.627605784,0.545018079,0.580480767,0.604331145,0.624367228,0.601561242,0.572092856,0.639219119,0.60154722,0.64103823,0.613300931,0.571959323,0.604894976,0.63923851,0.605027777,0.604778879,0.027072811,,
119,1.130366755,0.219554689,0.00634319,0.004002121,0.0001,"(30, 30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30, 30), 'NN__learning_rate_init': 0.001}",0.624277457,0.609614486,0.604298466,0.535380804,0.536923124,0.622995427,0.572680451,0.537140498,0.63040447,0.627326605,0.64786063,0.545568117,0.640659745,0.652478637,0.64010725,0.601847745,0.042403108,32,0.626365359,0.545018079,0.58250772,0.594632157,0.624367228,0.616827716,0.572092856,0.624429551,0.602898551,0.64103823,0.615111585,0.573201394,0.604632041,0.640796618,0.601169219,0.60433922,0.026266963,,
