,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
79,0.770889505,0.301955982,0.003819545,0.000299363,0.0001,"(40, 40)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40), 'NN__learning_rate_init': 0.001}",0.592090729,0.651716693,0.676495787,0.629310546,0.620795858,0.620217844,0.588877708,0.585792399,0.613079279,0.618344142,0.664062682,0.636179023,0.636913111,0.601289779,0.636203616,0.624757946,0.025840285,11,0.649203349,0.630515114,0.626338816,0.660310885,0.649626659,0.620277414,0.654648942,0.65310282,0.632674547,0.651597346,0.632776073,0.650810473,0.632097573,0.633670262,0.616285074,0.63959569,0.013320222,,0.014837743
163,1.225397237,0.346517183,0.003837649,5.32E-05,0.0001,"(25, 25, 25, 25)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25, 25, 25), 'NN__learning_rate_init': 0.001}",0.604915797,0.639995521,0.682378512,0.61849711,0.609128038,0.670718415,0.624503455,0.589742282,0.604566025,0.622926207,0.644131497,0.594807734,0.629734601,0.615780221,0.614065973,0.624392759,0.025125214,12,0.659724715,0.640493098,0.661811536,0.633810489,0.653198931,0.636419561,0.636557036,0.646918299,0.655797109,0.661905234,0.649016113,0.669855545,0.642663354,0.66009441,0.660383267,0.651243246,0.010900575,,0.026850487
111,1.094035832,0.419556017,0.003854926,0.000390561,0.0001,"(20, 20, 20)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20, 20), 'NN__learning_rate_init': 0.001}",0.583620422,0.646691591,0.686545024,0.624126083,0.618854609,0.636057195,0.617961578,0.604566025,0.623951014,0.582493807,0.644131497,0.621632322,0.618879837,0.598348157,0.657223788,0.624338863,0.026537128,13,0.63637841,0.629309862,0.638482064,0.641194868,0.650528444,0.622089829,0.658166445,0.654289487,0.63312253,0.620271847,0.63482382,0.655049959,0.627853222,0.631890678,0.634162015,0.637840899,0.011443233,,0.013502035
83,0.814811484,0.268711845,0.003977124,0.00037295,0.0001,"(45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45), 'NN__learning_rate_init': 0.001}",0.607304749,0.66271808,0.653040129,0.624403415,0.605888124,0.612716763,0.584613267,0.574218404,0.615780221,0.612380276,0.643248223,0.63040447,0.626179377,0.635691434,0.668843321,0.623828684,0.025654373,14,0.666605054,0.648904771,0.626365359,0.648399712,0.64022755,0.641683813,0.649255909,0.645830961,0.643086641,0.62867215,0.628705987,0.676499961,0.634024023,0.645244915,0.631011595,0.64363456,0.01344037,,0.019805876
91,0.787628412,0.238523871,0.003859695,4.64E-05,0.0001,"(55, 55)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55), 'NN__learning_rate_init': 0.001}",0.615399831,0.647398844,0.664851907,0.624629151,0.641115421,0.629310546,0.59006319,0.60374528,0.636913111,0.61143242,0.647752707,0.596461105,0.617476503,0.605884882,0.623418989,0.623723592,0.020315877,15,0.635413849,0.646490053,0.652460416,0.640213209,0.642782965,0.630917498,0.659985559,0.672017837,0.632984163,0.649060425,0.636520444,0.645205757,0.646300338,0.633428363,0.620555246,0.642955741,0.012203048,,0.019232149
39,0.739324363,0.259395415,0.003742297,0.000431178,0.0001,"(50,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'NN__learning_rate_init': 0.001}",0.629909471,0.650363482,0.681804704,0.619268336,0.634595568,0.630181414,0.592781819,0.596461105,0.611672627,0.584066012,0.654412798,0.617961578,0.624654524,0.587506593,0.639776168,0.623694413,0.026159691,16,0.634499323,0.629881271,0.620100363,0.640694808,0.642116957,0.617745262,0.653081146,0.64719334,0.652436999,0.639027672,0.595796567,0.644394104,0.6379796,0.634377591,0.622959358,0.634152291,0.014591681,,0.010457877
179,1.151725515,0.271428143,0.00422794,0.000431822,0.0001,"(45, 45, 45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45, 45), 'NN__learning_rate_init': 0.001}",0.621987164,0.659278768,0.647752707,0.626584877,0.622926207,0.639457258,0.609128038,0.600809538,0.608157885,0.629417191,0.633274404,0.589925184,0.627054381,0.603167854,0.635187146,0.62360724,0.018096299,17,0.665390114,0.656490596,0.622010602,0.659504254,0.664531787,0.650440186,0.666946783,0.646697898,0.635932082,0.65126724,0.647225976,0.677043132,0.63888,0.643917731,0.652478028,0.651917094,0.013447139,,0.028309854
131,1.174396022,0.273613132,0.003980271,0.000203265,0.0001,"(45, 45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45), 'NN__learning_rate_init': 0.001}",0.607330742,0.659355815,0.65350419,0.624654524,0.60177567,0.634595568,0.653179191,0.618854609,0.60690871,0.643248223,0.612949715,0.59648146,0.630536431,0.595349424,0.614065973,0.62351935,0.020629583,18,0.674920334,0.654958569,0.627881556,0.644496202,0.654057975,0.643088783,0.658584664,0.640821807,0.624955131,0.665457236,0.669670716,0.644662033,0.632138352,0.642103454,0.64527191,0.648204582,0.014199282,,0.024685232
127,1.142643627,0.32768361,0.00377876,0.000437223,0.0001,"(40, 40, 40)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40, 40), 'NN__learning_rate_init': 0.001}",0.607078427,0.657223788,0.667467137,0.63583815,0.629909471,0.622995427,0.575004209,0.584764325,0.635521752,0.624116761,0.628192096,0.618624583,0.607251708,0.641115421,0.614065973,0.623277949,0.02343671,19,0.635352338,0.646578867,0.626857946,0.629505418,0.665390114,0.627455602,0.638367249,0.646968117,0.625816905,0.660208187,0.634599542,0.667795924,0.635120418,0.662347921,0.63693738,0.642620128,0.014240611,,0.01934218
183,1.160611105,0.51657232,0.004212411,0.000116223,0.0001,"(50, 50, 50, 50)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50, 50, 50), 'NN__learning_rate_init': 0.001}",0.588195005,0.647609464,0.649543166,0.627423245,0.613488151,0.644916486,0.574330618,0.611142651,0.624654524,0.615304883,0.639457258,0.614065973,0.628497806,0.63040447,0.639776168,0.623253991,0.020654888,20,0.658863941,0.642725513,0.618317335,0.634948315,0.665427071,0.635176616,0.661614672,0.654890321,0.675657087,0.623919819,0.644452875,0.659349484,0.633428363,0.637084279,0.625859671,0.644781024,0.016432986,,0.021527033
